unit,level,source_url,tanggal_ambil
"Kenaikan terjadi pada seluruh dimensi, baik dimensi umur panjang dan hidup sehat, dimensi pengetahuan maupun standar hidup layak, atau dengan kata lain, telah terjadi perbaikan dari sisi pendidikan, kesehatan dan perekonomian masyarakat Provinsi Jambi secara umum,"" lanjutnya.",tak jelas,https://aksatanews.com/gubernur-al-haris-rkpd-provinsi-perlu-jaga-keselarasan-dengan-target-nasional,2026-06-15
"Al Haris, S.Sos., MH berkomitmen penuh dalam menangani dampak bencana banjir yang melanda wilayah ini, dimana yan
Read moreAKSATANEWS.COM - 1.706 unit rumah warga telah di bangun menjadi rumah layak huni.",tak jelas,https://aksatanews.com/gubernur-al-haris-gelar-halal-bihalal-bersama-kepala-daerah-jambi-wilayah-barat-di-bangko,2026-06-15
"Al Haris, S.Sos., MH berkomitmen penuh dalam menangani dampak bencana banjir yang melanda wilayah ini, dimana yan
Read moreAKSATANEWS.COM - 1.706 unit rumah warga telah di bangun menjadi rumah layak huni.",tak jelas,https://aksatanews.com/gubernur-al-haris-serahkan-lkpj-2025-dprd-apresiasi-kinerja-pemprov-jambi,2026-06-15
"Penghargaan tersebut diberikan oleh Ombudsman Republik Indonesia sebagai bentuk apresiasi atas komitmen Pemprov Jambi dalam menyelenggarakan pelayanan publik yang bersih, patuh terhadap peraturan perundang-undangan, serta berorientasi pada kepentingan masyarakat.",provinsi,https://aksatanews.com/jambi-peringkat-1-nasional-raih-opini-tertinggi-ombudsman-ri-tanpa-maladministrasi-pelayanan-publik,2026-06-15
"Ke depan, Pemprov Jambi berkomitmen menjadikan capaian peringkat 1 nasional ini sebagai motivasi untuk terus memperkuat integritas dan profesionalisme aparatur dalam memberikan pelayanan terbaik kepada masyarakat.(*)
Editor: Anzari
AKSATANEWS.COM-Program Makan Bergizi (MBG) terus menunjukkan dampak signifikan sebagai motor penggerak ekonomi daerah.",provinsi,https://aksatanews.com/jambi-peringkat-1-nasional-raih-opini-tertinggi-ombudsman-ri-tanpa-maladministrasi-pelayanan-publik,2026-06-15
"“Kami berharap ini menjadi guliran yang berlanjut, tidak berhenti hari ini saja, tetapi bergulir ke seluruh penjuru Jambi, dilakukan oleh semua stakeholder hingga ke lingkungan warga.",tak jelas,https://aksatanews.com/gerakan-penanaman-serentak-jambi-tanam-201-ribu-bibit-pohon-menteri-lh-jambi-akan-kami-jadikan-contoh,2026-06-15
"Berdasarkan laporan dari tim peliputan Dinas Komunikasi dan Informatika Provinsi Jambi, ribuan masyarakat simpatisan NU membanjiri jalanan menuju lokasi acara puncak peringatan satu abad NU sehingga menyebabkan kemacetan yang sangat parah.",tak jelas,https://aksatanews.com/al-haris-jalan-kaki-bersama-jusuf-kalla-hadiri-resepsi-puncak-satu-abad-nu,2026-06-15
Kegiatan ini menjadi simbol kuat komitmen pemerintah daerah dan masyarakat dalam menjaga ketahanan pangan sekaligus mempertahankan lahan pertanian dari ancaman alih fungsi.,tak jelas,https://aksatanews.com/gerak-tanam-padi-perdana-di-merangin-al-haris-tegaskan-komitmen-jambi-jaga-ketahanan-pangan,2026-06-15
"“Jambi Mantap Expo juga merupakan salah satu wujud dukungan pemerintah daerah sebagai fasilitator UMKM, dengan memberikan ruang bagi pelaku UMKM, motor penggerak utama ekonomi masyarakat, untuk mempromosikan produk UMKM dari kabupaten/kota se-Provinsi Jambi, guna penguatan kapasitas UMKM lokal.",tak jelas,https://aksatanews.com/jambi-mantap-expo-wujud-dukungan-pemerintah-daerah-fasilitasi-umkm,2026-06-15
"Menurutnya, kehadiran UMKM dalam setiap event besar daerah merupakan bukti nyata keberpihakan pemerintah dalam mendorong pertumbuhan ekonomi masyarakat.",tak jelas,https://aksatanews.com/jambi-sunset-festival-gaet-umkm-al-haris-bukti-nyata-pemerintah-dorong-ekonomi-masyaraka,2026-06-15
"Prestasi merupakan produk dari budaya, pendidikan, kepemimpinan, dan karakter masyarakat yang dibangun secara sistematis dalam jangka panjang.",tak jelas,https://aksesjambi.com/news/13/06/2026/pendidikan-dan-bola-pembelajaran-efektif-membangun-karakter-pendidikan/,2026-06-15
“Pemerintah Provinsi Jambi menyerahkan secara simbolis beras cadangan pangan pemerintah kepada masyarakat yang terdampak bencana beberapa waktu lalu.,tak jelas,https://aksesjambi.com/news/13/06/2026/al-haris-salurkan-beras-cadangan-untuk-korban-banjir-longsor-sarolangun/,2026-06-15
"Ia juga menekankan bahwa keberhasilan pembangunan daerah tidak hanya bergantung pada pemerintah semata, tetapi membutuhkan keterlibatan seluruh elemen masyarakat, termasuk TP PKK yang selama ini menjadi ujung tombak dalam pemberdayaan keluarga.",tak jelas,https://aksesjambi.com/news/13/06/2026/bupati-fadhil-arief-tekankan-peran-strategis-tp-pkk-dalam-pemberdayaan-keluarga/,2026-06-15
"JAKARTA, AksesNews – Belum lama ini, sempat ramai di media sosial tentang netizen yang mengeluh karena harus membayar sejumlah uang saat dirawat inap di rumah sakit, padahal ia sudah menjadi peserta BPJS Kesehatan.",tak jelas,https://aksesjambi.com/news/12/06/2026/bukan-aturan-baru-ini-daftar-layanan-yang-tak-dijamin-bpjs-kesehatan/,2026-06-15
"Kami tegaskan kembali bahwa denda pelayanan ini hanya berlaku untuk pasien yang dirawat inap di rumah sakit dalam kurun waktu 45 hari sejak status JKN-nya aktif lagi,” jelas Kepala Humas BPJS Kesehatan, Rizzky Anugerah.",tak jelas,https://aksesjambi.com/news/12/06/2026/bukan-aturan-baru-ini-daftar-layanan-yang-tak-dijamin-bpjs-kesehatan/,2026-06-15
"“Bukan hanya penyakit berbiaya mahal yang dijamin, BPJS Kesehatan bahkan menjamin biaya pelayanan kesehatan yang memerlukan perawatan berjangka waktu lama atau bahkan berlangsung seumur hidup, seperti cuci darah bagi pasien gagal ginjal, penderita talasemia dan hemofilia, pasien yang menjalani pengobatan kanker, insulin untuk penderita diabetes, dan lain sebagainya,” kata Rizzky.",tak jelas,https://aksesjambi.com/news/12/06/2026/bukan-aturan-baru-ini-daftar-layanan-yang-tak-dijamin-bpjs-kesehatan/,2026-06-15
Ia menekankan pentingnya peran perusahaan media siber sebagai mitra strategis pemerintah dalam menyampaikan informasi akurat ke masyarakat dan mendorong pembangunan daerah.,tak jelas,https://aksesjambi.com/news/12/06/2026/sambut-kepengurusan-baru-jmsi-jambi-al-haris-jmsi-adalah-organisasi-kekinian/,2026-06-15
"Jadikan sholawat sebagai Gerakan kolektif di masyarakat, instansi pemerintah, sekolah, hingga masjid.",tak jelas,https://aksesjambi.com/news/11/06/2026/hesti-haris-ajak-masyarakat-membumikan-budaya-sholawat-di-jambi/,2026-06-15
"Dalam sambutan dan arahannya Hesti Haris menyampaikan apresiasi dan dukungan penuh kepada seluruh elemen masyarakat, khususnya para ulama dan tokoh agama yang selama ini aktif membina umat serta mendukung program pembangunan pemerintah.",tak jelas,https://aksesjambi.com/news/11/06/2026/hesti-haris-ajak-masyarakat-membumikan-budaya-sholawat-di-jambi/,2026-06-15
"Ia juga yakin dan optimistis, dengan sinergi antara pemerintah, TP PKK, organisasi keagamaan, dan masyarakat, berbagai persoalan sosial yang ada di lingkungan kelurahan maupun desa dapat diselesaikan secara bersama-sama.",kota,https://aksesjambi.com/news/11/06/2026/hesti-haris-ajak-masyarakat-membumikan-budaya-sholawat-di-jambi/,2026-06-15
"Pada pelaksanaan kali ini, kegiatan digelar bersama Dinas Pendidikan Provinsi Jambi dengan membagikan sarapan bergizi kepada masyarakat sebagai bentuk kepedulian terhadap pemenuhan gizi sekaligus mempererat kebersamaan.",tak jelas,https://aksesjambi.com/news/10/06/2026/rabu-berkah-tp-pkk-jambi-bersama-dinas-pendidikan-bagikan-sarapan-bergizi-untuk-masyarakat/,2026-06-15
"Dinas Pendidikan menyiapkan sarapan berupa nasi kuning dan air minum yang siap dibagikan kepada masyarakat,” ujar Hj.",tak jelas,https://aksesjambi.com/news/10/06/2026/rabu-berkah-tp-pkk-jambi-bersama-dinas-pendidikan-bagikan-sarapan-bergizi-untuk-masyarakat/,2026-06-15
“Program ini juga menjadi wadah bagi dinas-dinas yang berpartisipasi untuk menyampaikan informasi penting dan hal-hal yang bermanfaat bagi masyarakat.,tak jelas,https://aksesjambi.com/news/10/06/2026/rabu-berkah-tp-pkk-jambi-bersama-dinas-pendidikan-bagikan-sarapan-bergizi-untuk-masyarakat/,2026-06-15
"Menurutnya, pendidikan tidak hanya berbicara mengenai proses belajar mengajar di sekolah, tetapi juga tentang membangun karakter, kepedulian, dan semangat berbagi di tengah masyarakat.",tak jelas,https://aksesjambi.com/news/10/06/2026/rabu-berkah-tp-pkk-jambi-bersama-dinas-pendidikan-bagikan-sarapan-bergizi-untuk-masyarakat/,2026-06-15
"“Melalui penyediaan sarapan bergizi, Dinas Pendidikan berharap dapat memberikan manfaat langsung kepada masyarakat sekaligus mengingatkan pentingnya pola hidup sehat melalui konsumsi makanan bergizi seimbang,” ucap Umar.",tak jelas,https://aksesjambi.com/news/10/06/2026/rabu-berkah-tp-pkk-jambi-bersama-dinas-pendidikan-bagikan-sarapan-bergizi-untuk-masyarakat/,2026-06-15
"Selain membantu memenuhi kebutuhan sarapan bagi warga yang membutuhkan, kegiatan tersebut juga menjadi ruang silaturahmi antara pemerintah dan Masyarakat,” tambahnya.",tak jelas,https://aksesjambi.com/news/10/06/2026/rabu-berkah-tp-pkk-jambi-bersama-dinas-pendidikan-bagikan-sarapan-bergizi-untuk-masyarakat/,2026-06-15
"Dengan kolaborasi berbagai OPD, Posyandu, serta para donatur, TP PKK Provinsi Jambi berharap program Rabu Berkah dapat terus berkembang dan menjadi salah satu gerakan sosial yang memberikan dampak nyata bagi peningkatan kesejahteraan masyarakat di Provinsi Jambi.",tak jelas,https://aksesjambi.com/news/10/06/2026/rabu-berkah-tp-pkk-jambi-bersama-dinas-pendidikan-bagikan-sarapan-bergizi-untuk-masyarakat/,2026-06-15
"Ia mengajak masyarakat untuk mulai memandang latihan beban sebagai kebutuhan dasar kesehatan, sama pentingnya dengan menjaga pola makan dan kualitas tidur.",tak jelas,https://aksesjambi.com/news/10/06/2026/coach-noe-soroti-bahaya-sarcopenia-pada-lansia-latihan-beban-jadi-kunci/,2026-06-15
"Sepanjang tahun 2026, pihaknya telah menangani puluhan sengketa informasi publik yang diajukan oleh masyarakat.",tak jelas,https://aksesjambi.com/news/11/06/2026/kadis-kominfo-jambi-pastikan-seleksi-komisi-informasi-sesuai-aturan/,2026-06-15
Hampir setiap hari masyarakat disuguhi kabar tentang korupsi.,tak jelas,https://amuranews.id/negeri-yang-mulai-kehilangan-rasa-hormat/,2026-06-15
"Dialog publik ini menjadi momentum penting dalam membangun kesadaran kolektif bahwa persoalan sampah bukan hanya urusan pemerintah semata, melainkan tanggung jawab bersama seluruh elemen masyarakat.",tak jelas,https://amuranews.id/revolusi-sampah-kota-jambi-dimulai-maulana-diza-siapkan-gerakan-besar-menuju-kota-bersih/,2026-06-15
"Sementara itu, terkait biaya operasional dan insentif bentor, mekanismenya akan dibahas melalui musyawarah di tingkat RT dengan mengedepankan asas keadilan, kemampuan ekonomi masyarakat, serta pola subsidi silang agar pelayanan tetap berjalan optimal tanpa memberatkan warga.",tak jelas,https://amuranews.id/revolusi-sampah-kota-jambi-dimulai-maulana-diza-siapkan-gerakan-besar-menuju-kota-bersih/,2026-06-15
"Jika lingkungan kita terjaga, maka investasi akan datang, ekonomi bergerak, daya beli masyarakat meningkat, dan pada akhirnya kesejahteraan masyarakat juga ikut tumbuh,” tegas Maulana di hadapan peserta dialog.",tak jelas,https://amuranews.id/revolusi-sampah-kota-jambi-dimulai-maulana-diza-siapkan-gerakan-besar-menuju-kota-bersih/,2026-06-15
Program pengelolaan sampah berbasis masyarakat yang digagas Pemerintah Kota Jambi tersebut diharapkan mampu menjadi solusi nyata terhadap persoalan sampah sekaligus menjadi instrumen pembangunan ekonomi.,tak jelas,https://amuranews.id/revolusi-sampah-kota-jambi-dimulai-maulana-diza-siapkan-gerakan-besar-menuju-kota-bersih/,2026-06-15
"Dengan lingkungan yang bersih dan tertata, Kota Jambi diyakini akan semakin menarik bagi investor, mendorong pertumbuhan usaha, meningkatkan pendapatan masyarakat, serta menciptakan lapangan kerja baru di berbagai sektor.",tak jelas,https://amuranews.id/revolusi-sampah-kota-jambi-dimulai-maulana-diza-siapkan-gerakan-besar-menuju-kota-bersih/,2026-06-15
"Sebab bagi Maulana-Diza, mewujudkan Kota Jambi yang bersih bukan sekadar urusan mengangkut sampah, melainkan membangun masa depan kota yang lebih maju, sehat, produktif, dan sejahtera bagi seluruh masyarakat.",tak jelas,https://amuranews.id/revolusi-sampah-kota-jambi-dimulai-maulana-diza-siapkan-gerakan-besar-menuju-kota-bersih/,2026-06-15
"Sani mengungkapkan, terkait efektivitas pemanfaatan dana penanggulangan Pandemi Covid-19 pada Dinas Kesehatan, anggaran tersebut pada dasarnya mengarah pada beberapa kegiatan strategis yang antara lain adalah melaksanakan testing, tracing dan treatment yang meliputi penyediaan sarana dan prasarana kesehatan, biaya perawatan pasien, operasional penyelenggaraan baik untuk tenaga kesehatan maupun pemulasaran jenazah, dimana Dinas Kesehatan Provinsi Jambi sebagai leading sector.",tak jelas,https://aksara24.id/2022/04/01/sani-tegaskan-komitmen-pemerintah-sejahterakan-masyarakat/,2026-06-16
"Terkait dengan pertanyaan fraksi PPP–Berkarya tentang langkah atau upaya strategis untuk mengintegrasikan masyarakat tidak mampu kedalam Program Jaminan Kesehatan Nasional (JKN), Pemerintah Provinsi Jambi telah melaksanakan sosialisasi terhadap pengelola jaminan Kesehatan di seluruh wilayah Provinsi Jambi dan melaksanakan rapat koordinasi lintas sektoral secara periodik melaksanakan dukungan jaminan kesehatan bagi masyarakat kurang mampu yang dirujuk ke Rumah Sakit Pemerintah.",tak jelas,https://aksara24.id/2022/04/01/sani-tegaskan-komitmen-pemerintah-sejahterakan-masyarakat/,2026-06-16
"“Kedua pelaku diamankan warga disemak-semak Jalan Rawa Indah dan diserahkan ke polisi,” pungkas keterangan video.",tak jelas,https://aksara24.id/2022/06/04/aksi-heroik-jukir-lumpuhkan-dua-jambret-hanya-dengan-satu-tendangan/,2026-06-16
"Tidak hanya itu, berbagai kegiatan sosial juga dilaksanakan sebagai bentuk kepedulian sosial LAM Provinsi Jambi kepada masyarakat, di antaranya pembagian 1.000 paket sembako, donor darah, pelayanan pengobatan gratis, serta berbagai kegiatan keagamaan.",tak jelas,https://aksesjambi.com/news/16/06/2026/puncak-hari-adat-melayu-jambi-al-haris-ajak-masyarakat-jaga-identitas-melayu/,2026-06-16
"Pemerintah Provinsi Jambi bersama Lembaga Adat Melayu Provinsi Jambi berkomitmen untuk terus bersinergi dalam menjaga, melestarikan, dan mengembangkan adat Melayu Jambi agar tetap hidup, berkembang, dan menjadi identitas yang membanggakan bagi masyarakat Jambi di tengah arus globalisasi dan perkembangan zaman.",tak jelas,https://aksesjambi.com/news/16/06/2026/puncak-hari-adat-melayu-jambi-al-haris-ajak-masyarakat-jaga-identitas-melayu/,2026-06-16
"Semoga layanan ini membawa kemudahan bagi masyarakat, mempercepat pertumbuhan ekonomi lokal, dan membantu mewujudkan Jambi yang lebih seimbang dan maju,” pungkasnya.",tak jelas,https://aksesjambi.com/news/15/06/2026/batik-air-resmi-layani-rute-jakarta-muara-bungo-al-haris-kunci-pemerataan-pembangunan/,2026-06-16
"Dengan teknologi yang terus berkembang serta dukungan layanan Honda yang luas, motor listrik Honda diharapkan dapat menjadi bagian dari solusi mobilitas masa kini bagi masyarakat Jambi.",tak jelas,https://aksesjambi.com/news/15/06/2026/motor-listrik-honda-kini-mulai-rp15-jutaan-sudah-termasuk-baterai-charger/,2026-06-16
"Penandatanganan ini menjadi bentuk komitmen kedua belah pihak dalam memperkuat pelaksanaan program-program pendidikan, penelitian, dan pengabdian kepada masyarakat yang memberikan dampak nyata bagi dunia pendidikan di Provinsi Jambi.",tak jelas,https://aksesjambi.com/news/15/06/2026/mahasiswa-s3-unja-gagas-inovasi-entrepreneur-untuk-angkat-potensi-candi-muaro-jambi/,2026-06-16
"Oleh karena itu, hilirisasi hasil pembelajaran dan penelitian perlu terus didorong agar dapat memberikan manfaat yang lebih luas bagi masyarakat dan dunia pendidikan.",tak jelas,https://aksesjambi.com/news/15/06/2026/mahasiswa-s3-unja-gagas-inovasi-entrepreneur-untuk-angkat-potensi-candi-muaro-jambi/,2026-06-16
"Ke depan, Dinas Pendidikan Provinsi Jambi akan terus mendorong terjalinnya kerja sama dengan berbagai institusi pendidikan dan lembaga terkait guna menciptakan ekosistem pendidikan yang adaptif terhadap perkembangan zaman, sekaligus tetap berakar pada nilai-nilai budaya dan kearifan lokal yang menjadi identitas masyarakat Jambi.",tak jelas,https://aksesjambi.com/news/15/06/2026/mahasiswa-s3-unja-gagas-inovasi-entrepreneur-untuk-angkat-potensi-candi-muaro-jambi/,2026-06-16
"Sinergi antara TNI, pemerintah, lembaga adat, dan masyarakat diharapkan mampu menjaga nilai-nilai luhur budaya agar tetap hidup, berkembang, serta menjadi perekat persatuan menuju Jambi dan Indonesia yang semakin kuat.",tak jelas,https://amuranews.id/gema-adat-melayu-jambi-menggema-kasrem-042-gapu-hadiri-peringatan-hari-adat-perkuat-persatuan-dan-jati-diri-daerah/,2026-06-16
"Namun di sisi lain, masyarakat terus disuguhi berita tentang korupsi, penyalahgunaan jabatan, permainan anggaran, hingga berbagai kebijakan yang sering kali terasa jauh dari denyut nadi kehidupan rakyat kecil.",tak jelas,https://amuranews.id/demo-mahasiswa-di-berbagai-kota-ketika-kekecewaan-rakyat-tak-lagi-mampu-dibungkam/,2026-06-16
"Hampir setiap pekan masyarakat membaca berita tentang penyalahgunaan anggaran negara, suap proyek, jual beli jabatan, manipulasi pengadaan barang dan jasa, hingga berbagai bentuk kejahatan yang dilakukan oleh mereka yang seharusnya menjadi pelayan rakyat.",tak jelas,https://amuranews.id/demo-mahasiswa-di-berbagai-kota-ketika-kekecewaan-rakyat-tak-lagi-mampu-dibungkam/,2026-06-16
"Uang yang seharusnya digunakan untuk membangun sekolah, memperbaiki rumah sakit, membuka lapangan pekerjaan, membantu petani, nelayan, dan masyarakat miskin, justru mengalir ke kantong-kantong pribadi para pelaku korupsi.",tak jelas,https://amuranews.id/demo-mahasiswa-di-berbagai-kota-ketika-kekecewaan-rakyat-tak-lagi-mampu-dibungkam/,2026-06-16
"Dalam situasi seperti ini, muncul pula kekhawatiran masyarakat terhadap berbagai program strategis yang menggunakan anggaran sangat besar.",tak jelas,https://amuranews.id/demo-mahasiswa-di-berbagai-kota-ketika-kekecewaan-rakyat-tak-lagi-mampu-dibungkam/,2026-06-16
"Ketika mahasiswa berteriak tentang korupsi, ketidakadilan, dan kebijakan yang dianggap tidak berpihak kepada rakyat, sesungguhnya mereka sedang menyuarakan kegelisahan yang hidup di tengah masyarakat.",tak jelas,https://amuranews.id/demo-mahasiswa-di-berbagai-kota-ketika-kekecewaan-rakyat-tak-lagi-mampu-dibungkam/,2026-06-16
Korupsi sudah terlalu sering terjadi hingga sebagian masyarakat nyaris kebal mendengarnya.,tak jelas,https://amuranews.id/demo-mahasiswa-di-berbagai-kota-ketika-kekecewaan-rakyat-tak-lagi-mampu-dibungkam/,2026-06-16
"Momentum Hari Bhayangkara ke-80 ini juga menjadi bukti komitmen Polda Jambi dalam terus memperkuat kolaborasi dengan seluruh elemen bangsa, mulai dari pemerintah, TNI, komunitas olahraga, hingga masyarakat luas demi mewujudkan situasi kamtibmas yang aman, damai, dan kondusif di Provinsi Jambi.",tak jelas,https://amuranews.id/bola-pertama-dipecahkan-kapolda-turnamen-biliar-kapolda-cup-2026-jadi-arena-soliditas-tni-polri-sambut-hari-bhayangkara-ke-80/,2026-06-16
"Dengan semangat baru, diharapkan Polda Jambi dapat terus meningkatkan kinerja dan memberikan pelayanan terbaik bagi masyarakat.",tak jelas,https://amuranews.id/irjen-pol-krisno-halomoan-siregar-s-i-k-m-h-resmi-jabat-kapolda-jambi/,2026-06-16
"Berikut ini adalah informasi penting yang perlu pengguna jalan ketahui:
Rute Penutupan Jalan
– Beberapa titik jalan akan ditutup sementara, termasuk rute yang melintasi Jalan Teuku Umar, Diponegoro, Hasanudin, Bukit Tunggal, Nusa Kambangan, dan Imam Bonjol Denpasar.",tak jelas,https://amuranews.id/presisi-merdeka-run-2025-jambi-polresta-jambi-lakukan-penutupan-sementara-beberapa-jalan/,2026-06-16
– Penutupan jalan ini dilakukan untuk memastikan keamanan dan kenyamanan peserta serta pengguna jalan lainnya.,tak jelas,https://amuranews.id/presisi-merdeka-run-2025-jambi-polresta-jambi-lakukan-penutupan-sementara-beberapa-jalan/,2026-06-16
– Arus lalu lintas akan dialihkan ke jalan alternatif untuk memastikan keamanan dan kenyamanan peserta serta pengguna jalan lainnya.,tak jelas,https://amuranews.id/presisi-merdeka-run-2025-jambi-polresta-jambi-lakukan-penutupan-sementara-beberapa-jalan/,2026-06-16
"Dampak Penutupan Jalan
Atas rangka giat Presisi Merdeka Run 2025 penutupan jalan ini sehingga menyebabkan kemacetan di beberapa titik, oleh karena itu, Polresta Jambi menyarankan agar masyarakat dapat untuk merencanakan perjalanan dengan baik dan menghindari jalur yang terdampak penutupan jalan tersebut,” Ujar Kasat Lantas.",tak jelas,https://amuranews.id/presisi-merdeka-run-2025-jambi-polresta-jambi-lakukan-penutupan-sementara-beberapa-jalan/,2026-06-16
"Kapilresta Jambi Kombes Pol Boy Sutan Binanga Siregar, SIK, MH, bersama Kasat Lantas Polresta Jambi AKP Hadi Siswanto, SIK, MH memohon maaf atas penutupan beberapa ruas jalan di kota Jambi, “Kami berharap masyarakat dapat memahami dan mematuhi penutupan jalan sementara ini.",tak jelas,https://amuranews.id/presisi-merdeka-run-2025-jambi-polresta-jambi-lakukan-penutupan-sementara-beberapa-jalan/,2026-06-16
