opd,bidang,uraian_fungsi,dasar_hukum
Dinas Kesehatan,Kesehatan Masyarakat,"Perumusan dan pelaksanaan kebijakan kesehatan masyarakat, promosi kesehatan, dan kesehatan lingkungan.",Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Dinas Kesehatan,Pencegahan dan Pengendalian Penyakit (P2P),"Surveilans, pencegahan, dan pengendalian penyakit menular dan tidak menular.",Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Dinas Kesehatan,Pelayanan Kesehatan,"Pelayanan kesehatan primer dan rujukan, termasuk rumah sakit dan puskesmas.",Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Dinas Kesehatan,Sumber Daya Kesehatan,"Kefarmasian, alat kesehatan, dan pengelolaan sumber daya manusia kesehatan.",Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Satpol PP & Damkar,Ketenteraman dan Ketertiban Umum,Pengendalian ketenteraman dan ketertiban umum di daerah.,Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Satpol PP & Damkar,Penegakan Peraturan Daerah,Penegakan Peraturan Daerah dan Peraturan Gubernur.,Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Satpol PP & Damkar,Perlindungan Masyarakat (Linmas),Perlindungan masyarakat dan penanganan gangguan ketenteraman.,Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Satpol PP & Damkar,Pemadam Kebakaran (Damkar),"Pencegahan, pengendalian, dan penanggulangan kebakaran serta penyelamatan.",Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Badan Penelitian dan Pengembangan Daerah,Penelitian dan Pengembangan Pemerintahan,Penelitian dan pengembangan bidang pemerintahan dan kebijakan daerah.,Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Badan Penelitian dan Pengembangan Daerah,Penelitian dan Pengembangan Sosial dan Ekonomi,Penelitian dan pengembangan bidang sosial dan ekonomi daerah.,Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
Badan Penelitian dan Pengembangan Daerah,Pengkajian Iptek dan Inovasi Daerah,"Pengkajian teknologi, koordinasi kelitbangan, dan pembinaan inovasi daerah.",Peraturan Gubernur Jambi Nomor 30 Tahun 2024 (SOTK)
"Dinas Sosial, Kependudukan dan Pencatatan Sipil",Perlindungan dan Jaminan Sosial,Perlindungan dan jaminan sosial bagi masyarakat.,Peraturan Gubernur Jambi Nomor 44 Tahun 2016
"Dinas Sosial, Kependudukan dan Pencatatan Sipil",Rehabilitasi Sosial,Rehabilitasi sosial penyandang masalah kesejahteraan sosial.,Peraturan Gubernur Jambi Nomor 44 Tahun 2016
"Dinas Sosial, Kependudukan dan Pencatatan Sipil",Pemberdayaan Sosial,Pemberdayaan sosial dan penanganan masalah sosial.,Peraturan Gubernur Jambi Nomor 44 Tahun 2016
"Dinas Sosial, Kependudukan dan Pencatatan Sipil",Penanganan Fakir Miskin,Penanganan dan pemberdayaan fakir miskin.,Peraturan Gubernur Jambi Nomor 44 Tahun 2016
"Dinas Sosial, Kependudukan dan Pencatatan Sipil",Administrasi Kependudukan dan Pencatatan Sipil (Dukcapil),Pelayanan administrasi kependudukan dan pencatatan sipil.,Peraturan Gubernur Jambi Nomor 44 Tahun 2016
Dinas Perhubungan (UPTD Sarana dan Prasarana),Sarana dan Prasarana Perhubungan,"Pengelolaan teknis sarana prasarana perhubungan (terminal tipe B, dermaga, bus Trans Siginjai) dan pengawasan laik jalan.",Peraturan Gubernur Jambi Nomor 17 Tahun 2019
Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu (DPMPTSP),Pelayanan Perizinan dan Non-Perizinan,Pelayanan perizinan dan non-perizinan satu pintu bagi masyarakat dan pelaku usaha.,Peraturan Gubernur Jambi Nomor 54 Tahun 2016
Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu (DPMPTSP),Promosi Penanaman Modal,Promosi investasi dan penanaman modal daerah.,Peraturan Gubernur Jambi Nomor 54 Tahun 2016
Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu (DPMPTSP),Perencanaan dan Iklim Penanaman Modal,Perencanaan dan pengembangan iklim penanaman modal.,Peraturan Gubernur Jambi Nomor 54 Tahun 2016
Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu (DPMPTSP),Pengendalian Penanaman Modal,Pengendalian pelaksanaan penanaman modal.,Peraturan Gubernur Jambi Nomor 54 Tahun 2016
Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu (DPMPTSP),Pengaduan Layanan,Penanganan pengaduan layanan perizinan terpadu.,Peraturan Gubernur Jambi Nomor 54 Tahun 2016
"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Pengendalian Penduduk (DP3AP2)",Pemberdayaan Perempuan,Pemberdayaan perempuan dan pengarusutamaan gender.,Peraturan Gubernur Jambi Nomor 41 Tahun 2016 & Nomor 61 Tahun 2018
"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Pengendalian Penduduk (DP3AP2)",Perlindungan Anak,Fasilitasi perlindungan dan pemenuhan hak anak.,Peraturan Gubernur Jambi Nomor 41 Tahun 2016 & Nomor 61 Tahun 2018
"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Pengendalian Penduduk (DP3AP2)",Pemerintahan Desa,Pembinaan tata kelola pemerintahan desa.,Peraturan Gubernur Jambi Nomor 41 Tahun 2016 & Nomor 61 Tahun 2018
"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Pengendalian Penduduk (DP3AP2)",Pemberdayaan Masyarakat Desa,Pengembangan usaha ekonomi desa dan pemberdayaan masyarakat desa.,Peraturan Gubernur Jambi Nomor 41 Tahun 2016 & Nomor 61 Tahun 2018
"Dinas Pemberdayaan Perempuan, Perlindungan Anak dan Pengendalian Penduduk (DP3AP2)",Pengendalian Penduduk dan KB,Program keluarga berencana dan pengendalian penduduk.,Peraturan Gubernur Jambi Nomor 41 Tahun 2016 & Nomor 61 Tahun 2018
Dinas Ketahanan Pangan,Distribusi dan Cadangan Pangan,"Pengelolaan distribusi, stabilisasi harga, dan cadangan pangan.",Peraturan Gubernur Jambi Nomor 53 Tahun 2016
Dinas Ketahanan Pangan,Ketersediaan dan Kerawanan Pangan,Ketersediaan pangan dan penanganan kerawanan pangan.,Peraturan Gubernur Jambi Nomor 53 Tahun 2016
Dinas Ketahanan Pangan,Konsumsi dan Keamanan Pangan,Penganekaragaman konsumsi dan keamanan pangan segar.,Peraturan Gubernur Jambi Nomor 53 Tahun 2016
Dinas Lingkungan Hidup,Tata Lingkungan,"Penyusunan KLHS, AMDAL, dan instrumen perencanaan lingkungan.",Peraturan Gubernur Jambi Nomor 52 Tahun 2016
Dinas Lingkungan Hidup,Pengendalian Pencemaran dan Kerusakan Lingkungan,Pengendalian pencemaran air dan udara serta pengelolaan limbah B3.,Peraturan Gubernur Jambi Nomor 52 Tahun 2016
Dinas Lingkungan Hidup,Penaatan Lingkungan,Penanganan pengaduan dan penegakan hukum lingkungan.,Peraturan Gubernur Jambi Nomor 52 Tahun 2016
"Dinas Koperasi, Usaha Kecil dan Menengah",Perizinan dan Kelembagaan Koperasi,Verifikasi izin KSP/USP dan penataan kelembagaan koperasi.,Peraturan Gubernur Jambi Nomor 48 Tahun 2016
"Dinas Koperasi, Usaha Kecil dan Menengah",Pengawasan dan Pemeriksaan Koperasi,Penilaian kesehatan dan pemeriksaan koperasi.,Peraturan Gubernur Jambi Nomor 48 Tahun 2016
"Dinas Koperasi, Usaha Kecil dan Menengah",Pemberdayaan Koperasi,Promosi dan fasilitasi akses permodalan koperasi.,Peraturan Gubernur Jambi Nomor 48 Tahun 2016
"Dinas Koperasi, Usaha Kecil dan Menengah",Pemberdayaan UKM,Peningkatan skala usaha kecil menjadi menengah.,Peraturan Gubernur Jambi Nomor 48 Tahun 2016
Dinas Tenaga Kerja dan Transmigrasi,Pembinaan dan Penempatan Tenaga Kerja,Pelatihan kerja (BLK) dan penempatan tenaga kerja.,Peraturan Gubernur Jambi Nomor 56 Tahun 2016
Dinas Tenaga Kerja dan Transmigrasi,Pengawasan dan Hubungan Industrial,"Pengawasan K3, hubungan industrial, dan penegakan hukum ketenagakerjaan.",Peraturan Gubernur Jambi Nomor 56 Tahun 2016
Dinas Tenaga Kerja dan Transmigrasi,Transmigrasi,Pengelolaan kawasan dan masyarakat transmigrasi.,Peraturan Gubernur Jambi Nomor 56 Tahun 2016
"Dinas Tanaman Pangan, Hortikultura dan Peternakan",Peternakan,"Perbibitan, pakan, dan produksi ternak.",Peraturan Gubernur Jambi Nomor 35 Tahun 2018
"Dinas Tanaman Pangan, Hortikultura dan Peternakan",Kesehatan Hewan dan Kesmavet,Pelayanan kesehatan hewan dan kesehatan masyarakat veteriner.,Peraturan Gubernur Jambi Nomor 35 Tahun 2018
"Dinas Tanaman Pangan, Hortikultura dan Peternakan",Tanaman Pangan dan Hortikultura,Produksi dan pasca panen tanaman pangan dan hortikultura.,Peraturan Gubernur Jambi Nomor 35 Tahun 2018
"Dinas Tanaman Pangan, Hortikultura dan Peternakan",Prasarana dan Sarana Pertanian,"Irigasi pertanian serta pengawasan pupuk, pestisida, dan alsintan.",Peraturan Gubernur Jambi Nomor 35 Tahun 2018
Dinas Perkebunan,Perbenihan dan Produksi,Budidaya dan produksi komoditas perkebunan.,Peraturan Gubernur Jambi Nomor 43 Tahun 2016
Dinas Perkebunan,Pengembangan dan Penyuluhan,"Pengembangan, penyuluhan, dan pertimbangan izin usaha perkebunan (IUP).",Peraturan Gubernur Jambi Nomor 43 Tahun 2016
Dinas Perkebunan,Prasarana dan Perlindungan,Prasarana perkebunan serta pencegahan konflik dan kebakaran lahan perkebunan.,Peraturan Gubernur Jambi Nomor 43 Tahun 2016
Dinas Perkebunan,Pengolahan dan Pemasaran,"Standardisasi, pengolahan, dan pemasaran hasil perkebunan.",Peraturan Gubernur Jambi Nomor 43 Tahun 2016
Dinas Energi dan Sumber Daya Mineral,Geologi dan Air Tanah,Pengelolaan teknis geologi dan air tanah.,Peraturan Gubernur Jambi Nomor 49 Tahun 2016
Dinas Energi dan Sumber Daya Mineral,Pertambangan Mineral dan Batubara,Pengawasan teknis pertambangan mineral dan batubara.,Peraturan Gubernur Jambi Nomor 49 Tahun 2016
Dinas Energi dan Sumber Daya Mineral,Energi Baru Terbarukan,Pengembangan dan fasilitasi energi baru terbarukan.,Peraturan Gubernur Jambi Nomor 49 Tahun 2016
Dinas Energi dan Sumber Daya Mineral,Ketenagalistrikan,Pengelolaan dan pengawasan teknis ketenagalistrikan.,Peraturan Gubernur Jambi Nomor 49 Tahun 2016
"Dinas Perumahan, Kawasan Permukiman, dan Pertanahan (DPKP)",Perumahan dan Kawasan Permukiman,Pengembangan dan pembangunan perumahan; penyediaan dan rehabilitasi rumah korban bencana serta relokasi program provinsi; pembiayaan perumahan MBR; rumah swadaya; penataan kawasan permukiman kumuh.,Peraturan Gubernur Jambi Nomor 28 Tahun 2025
"Dinas Perumahan, Kawasan Permukiman, dan Pertanahan (DPKP)",Pengembangan Permukiman,"Infrastruktur permukiman di kawasan strategis provinsi; prasarana, sarana, dan utilitas (PSU); kawasan siap bangun lintas kabupaten/kota.",Peraturan Gubernur Jambi Nomor 28 Tahun 2025
"Dinas Perumahan, Kawasan Permukiman, dan Pertanahan (DPKP)",Pertanahan,Pengadaan tanah untuk kepentingan umum dan PSN; hak tanah ulayat; penyelesaian sengketa pertanahan; ganti kerugian dan redistribusi tanah; pengukuran dan pemetaan.,Peraturan Gubernur Jambi Nomor 28 Tahun 2025
Inspektorat Daerah,Pengawasan Penyelenggaraan Pemerintahan,"Pengawasan internal atas penyelenggaraan urusan pemerintahan daerah, audit, reviu, evaluasi, dan pemantauan.",Peraturan Gubernur Jambi Nomor 18 Tahun 2020
Inspektorat Daerah,Pemeriksaan dan Audit,Pemeriksaan keuangan dan kinerja perangkat daerah serta tindak lanjut hasil pemeriksaan.,Peraturan Gubernur Jambi Nomor 18 Tahun 2020
Inspektorat Daerah,Penanganan Pengaduan dan Dugaan Penyimpangan,"Penanganan pengaduan masyarakat, dugaan korupsi, penyalahgunaan wewenang, dan penyimpangan (whistleblowing); pemeriksaan khusus.",Peraturan Gubernur Jambi Nomor 18 Tahun 2020
Inspektorat Daerah,Pengawasan Akuntabilitas dan Reformasi Birokrasi,"Penguatan akuntabilitas kinerja, sistem pengendalian intern (SPIP), dan reformasi birokrasi.",Peraturan Gubernur Jambi Nomor 18 Tahun 2020
Sekretariat Daerah,Tata Pemerintahan,"Koordinasi penyelenggaraan pemerintahan umum, otonomi daerah, dan administrasi kewilayahan.",Peraturan Gubernur Jambi Nomor 3 Tahun 2020
Sekretariat Daerah,Hukum,"Penyusunan produk hukum daerah, bantuan hukum, dan dokumentasi peraturan.",Peraturan Gubernur Jambi Nomor 3 Tahun 2020
Sekretariat Daerah,Organisasi,"Penataan kelembagaan, ketatalaksanaan, dan analisis jabatan perangkat daerah.",Peraturan Gubernur Jambi Nomor 3 Tahun 2020
Sekretariat Daerah,Perekonomian dan Pembangunan,"Koordinasi kebijakan perekonomian, pengendalian pembangunan, dan pengadaan barang/jasa.",Peraturan Gubernur Jambi Nomor 3 Tahun 2020
Sekretariat Daerah,Kesejahteraan Rakyat,"Koordinasi kebijakan bidang kesejahteraan rakyat, keagamaan, dan kemasyarakatan.",Peraturan Gubernur Jambi Nomor 3 Tahun 2020
Sekretariat Daerah,Protokol dan Komunikasi Pimpinan,"Keprotokolan, pelayanan pimpinan, dan komunikasi pimpinan daerah.",Peraturan Gubernur Jambi Nomor 3 Tahun 2020
Badan Perencanaan Pembangunan Daerah (Bappeda),Perencanaan Pembangunan Daerah,"Penyusunan RPJPD, RPJMD, dan RKPD serta koordinasi perencanaan pembangunan daerah.",Peraturan Gubernur Jambi Nomor 57 Tahun 2016
Badan Perencanaan Pembangunan Daerah (Bappeda),Perencanaan Ekonomi,Perencanaan pembangunan bidang ekonomi dan sumber daya alam.,Peraturan Gubernur Jambi Nomor 57 Tahun 2016
Badan Perencanaan Pembangunan Daerah (Bappeda),Perencanaan Sosial Budaya dan Pemerintahan,"Perencanaan pembangunan bidang sosial, budaya, dan pemerintahan.",Peraturan Gubernur Jambi Nomor 57 Tahun 2016
Badan Perencanaan Pembangunan Daerah (Bappeda),Perencanaan Infrastruktur dan Kewilayahan,"Perencanaan pembangunan infrastruktur, prasarana wilayah, dan tata ruang.",Peraturan Gubernur Jambi Nomor 57 Tahun 2016
Badan Perencanaan Pembangunan Daerah (Bappeda),"Penelitian, Pengendalian dan Evaluasi","Pengendalian, evaluasi pelaksanaan rencana, dan pengelolaan data perencanaan.",Peraturan Gubernur Jambi Nomor 57 Tahun 2016
Badan Pengelola Keuangan dan Pendapatan Daerah (BPKPD),Anggaran,Penyusunan dan pengelolaan anggaran pendapatan dan belanja daerah (APBD).,Peraturan Gubernur Jambi Nomor 12 Tahun 2021
Badan Pengelola Keuangan dan Pendapatan Daerah (BPKPD),Perbendaharaan,"Pengelolaan perbendaharaan, pencairan, dan kas daerah.",Peraturan Gubernur Jambi Nomor 12 Tahun 2021
Badan Pengelola Keuangan dan Pendapatan Daerah (BPKPD),Akuntansi dan Pelaporan,Akuntansi dan penyusunan laporan keuangan pemerintah daerah.,Peraturan Gubernur Jambi Nomor 12 Tahun 2021
Badan Pengelola Keuangan dan Pendapatan Daerah (BPKPD),Pendapatan Daerah,"Pengelolaan dan pemungutan pajak daerah, retribusi, dan pendapatan daerah lainnya.",Peraturan Gubernur Jambi Nomor 12 Tahun 2021
Badan Pengelola Keuangan dan Pendapatan Daerah (BPKPD),Aset Daerah,"Penatausahaan, pemanfaatan, dan pengamanan barang milik daerah.",Peraturan Gubernur Jambi Nomor 12 Tahun 2021
